manuscript_id,matches
F1229C,['F1229A']
F1227C,['J1183']
J1579,['F1615A']
F1779A,['P96-92', 'J1755']
J1,['F1A']
J1335,['F1361A']
J1505,['F1535A']
F5B,['F5A']
F1021A,['J1012']
J1080,['F1042A']
J1753,['F1770A']
J1747,['F1765A']
F1055A,['J1095']
F1171A,['F1171B']
F928A,['J880']
P91-79,['F501B']
F1197A,['J1176']
F744C,['F744D']
J1176,['F1197A']
F771B,['F771A']
F1305B,['J1246', 'F1305A']
J1162,['F1178A']
J55,['F37A']
J1705,['F1691A']
F1648A,['J1621']
F1434A,['F1434A.1']
F158A,['J104']
F132B,['J160']
F1342B,['J1733']
F1434A.1,['F1434A']
F1642B,['J1623']
J1369,['F1415A']
J1341,['F1370A']
J1689,['F1731A']
J1166,['F1206A']
J79,['F128B']
F1303A,['J1268']
J1172,['F1246A']
J1715,['F1750A']
J1701,['F1744A']
F1207A,['J1189']
J935,['F1066A']
J882,['F1114A']
F924A,['J940']
J896,['F1078B']
F1501A,['J1467']
F1509B,['J1477']
F1045A,['J1083']
F1013A,['J999']
F1017A,['J1055']
F1091A,['J855']
J1743,['F1784A']
F54A,['J1730', 'J1730']
J1757,['F1775A']
J1118,['F1157A']
F1527A,['J1486']
P96-55,['F1772A']
J1489,['F1522A']
F1368A,['J1337']
F893A,['J1139']
J1541,['F1576A']
F1663A,['J1600']
F1650B,['F1650C']
J5,['F4A']
J1555,['F1585A']
F1650C,['F1650B']
F1233A,['J1197']
F1789A,['J1764']
F852C,['J876']
J1293,['F1279D']
J1514,['F1544B']
J1488,['F1541A']
J1119,['F1144A']
J1756,['F1771A']
F42B,['F42A']
J213,['F134A']
F1016B,['J983']
J1085,['F1101A']
F1090B,['J813']
F1080A,['J898']
F1046A,['J1086']
F1185A,['J1124']
F1167A,['J1215']
F923B,['J874']
F738B,['J982']
F1195A,['J1534']
F1208A,['J1180']
F1638B,['J1595']
P96-96,['J1740']
J1173,['F1140A']
J1688,['F1728A']
F151B,['J61']
J1340,['F1377A']
F142A,['J129']
F1343A,['J1242']
F1345A,['J1290']
J1729,['F56A']
F1300B,['J1251']
J1165,['F1175C']
J1716,['F1783A']
F1194E,['F1194D']
F565A,['SH14-8']
F1206A,['J1166']
F1169A,['J1157', 'F1169B']
J895,['F1077A']
F1178A,['J1162']
P91-10,['J77']
F579B,['F579C']
F1503B,['J1469']
J1124,['F1185A']
F1092A,['J856']
J1087,['F1047A']
F1015A,['J1000']
F32A,['F32B']
J1093,['F1053A']
J1754,['F1777A']
J1740,['F1780A', 'P96-96']
F52A,['J147']
F1039B,['J1027']
F1539A,['F1539B', 'F1539C']
J1326,['F1318A']
F892A,['J1066']
F1223A,['J1205']
F1670A,['J1635']
J1529,['F1551A']
J1291,['F1262A']
J1319,['F1379A']
F1216A,['F1216B', 'F1216B']
F1662A,['J1603']
F1661A,['J1613']
J13,['F35B']
F1649A,['J1625']
J1290,['F1345A']
J1528,['F1574A']
J1333,['F1356C', 'F1356B']
J1755,['P96-92', 'F1779A']
F42A,['F42B']
J434,['F618B']
F32B,['F32A']
J1086,['F1046A']
J1769,['F1153A']
F1047A,['J1087']
F112C,['J67']
F1053A,['J1093']
F579C,['F579B']
J880,['F928A']
F1169B,['J1157', 'F1169A']
F1205A,['J1193']
F1194D,['F1194E']
F1521A,['F1521B']
F1628B,['J1594']
J47,['F64A']
J1717,['F1751A']
J1703,['F1740A']
J1164,['F1165A']
F1439A,['J1414']
F134A,['J213']
J1728,['F1757A']
F397A,['J1761', 'P90-84']
SH14-140,['J1249']
F143A,['J76', 'P90-82']
