word,close_words
achieves,achieved,achieve
bearest,nearest,barest
promoted,promote,prompted
stormy,story,storm
hasten,haste,chasten,fasten
deface,defaced,defaces
ticking,picking,tucking
stinging,singing,swinging
wending,bending,wedding,sending,winding
sailed,failed,mailed,ailed,vailed,smiled
modesty,modest,modestly,modesties
suffused,suffuses,suffuse
picked,ticked,licked,packed
swindler,swindled,swindlers
deport,report,depart
meaning,meanings,moaning,leaning
monarch,monarchs,monarchy
laying,playing,saying,lying,paying
inhere,inheres,inhered
rocked,locked,racked
sending,bending,spending,wending
interruption,interrupting,interruptions
cattle,castle,rattle,battle
starved,started,starve,stared
bitter,better,fitter
coffer,confer,offer,coffers,coffee
heaped,helped,leaped,healed
auroral,aurora,auroran
computes,computed,competes
mapped,sapped,tapped
charted,charter,charged,chanted,chatted,charmed
betides,besides,betimes
learnt,leant,learn,learns
chased,ceased,chase
teazed,teaze,teazes
partakes,partaken,partake
planted,plated,planned,slanted
trilled,frilled,tilled,drilled,thrilled
sapped,sipped,mapped,tapped
warmed,armed,warmer
whence,hence,thence
gather,rather,father,gathers
grapple,grapples,grappled
summit,submit,summits
strives,strikes,strive,striven
severe,revere,severer
middle,riddle,meddle
swinging,singing,stinging
divided,dividend,divides,divide
bridle,bride,bridge,bridles
pursues,pursued,pursue
has'nt,hav'nt,was'nt,had'nt
enclose,encloses,enclosed
commuted,commute,computed
expend,expends,extend
starve,stare,starved
overhears,overheard,overhear
endure,endured,endures
fought,nought,sought,bought,ought
beggary,beggar,beggars
crested,created,rested
ringing,singing,bringing
chanced,chances,chance,chancel,changed,chanted
untraversed,traversed,untravelled
mingle,single,mangle,mingled,dingle
untravelled,untraversed,travelled
charger,charter,charge,charged,chargers
debate,debase,debated,debates
waning,waking,waxing,warning,wanting,wading
wanting,waiting,panting,waning
number,umber,numbers,dumber
ladder's,ladders,adder's
creased,ceased,created,crease,creases
apprehension's,apprehension,apprehensions
pilate,palate,plate,pirate
chasten,chastens,hasten
diving,divine,living,dining,giving,driving
strait,strain,trait,straits
streak,streaks,stream
ballot,ballet,ballots
faster,aster,vaster,easter,falter,master,fasten
breach,breath,reach,beach
needing,heeding,feeding
plover,lover,clover
seeming,seeking,seeing,deeming
comprehended,comprehend,comprehendeth
caller,called,callers
beguile,beguiled,beguiles
withold,witheld,withhold
speculation,speculation's,speculations
